,,,,,,,,,
,2099,胖子,pàng zi,fat person; fatty,3707,375146,"0,004409%", ,4
,2100,培训,péixùn,Train,715,2045148,"0,024036%",5,4
,2101,培训班,péi xùn bān,training class,6195,196932,"0,002315%", ,4
,2102,培养,péiyǎng,culture,623,2256123,"0,026516%",5,4
,2103,培育,péiyù,Cultivation,2803,518433,"0,006093%",6,4
,2104,片面,piànmiàn,one-sided,8646,128781,"0,001514%",5,4
,2105,品质,pǐnzhì,quality,1850,822546,"0,009667%",6,4
,2106,平方,píngfāng,square,13317,72165,"0,000848%",5,4
,2107,平静,píngjìng,calm,2337,631669,"0,007424%",5,4
,2108,平均,píngjūn,Average,513,2654181,"0,031194%",5,4
,2109,平稳,píng wěn,smooth; steady,3362,423104,"0,004973%", ,4
,2110,迫切,pòqiè,urgent,4869,268039,"0,003150%",5,4
,2111,破产,pòchǎn,bankruptcy,3790,363870,"0,004277%",5,4
,2112,妻子,qīzi,Wife,1155,1330676,"0,015639%",2,4
,2113,期待,qīdài,expect; look forward to,613,2286125,"0,026869%",5,4
,2114,期间,qījiān,Period,412,3107363,"0,036521%",5,4
,2115,期末,qī mò,end of term,—,—,—, ,4
,2116,期限,qīxiàn,term,2484,586196,"0,006890%",6,4
,2117,期中,qī zhōng,midterm,17104,50497,"0,000593%", ,4
,2118,其余,qíyú,Rest,2129,700201,"0,008229%",5,4
,2119,企业,qǐyè,enterprise,16,18094727,"0,212666%",5,4
,2120,气球,qì qiú,balloon,10258,103237,"0,001213%", ,4
,2121,汽水,qì shuǐ,soda; soda water; aerated water; sparkling water,20340,38875,"0,000457%", ,4
,2122,汽油,qìyóu,gasoline,3913,349599,"0,004109%",5,4
,2123,器官,qìguān,organ,4303,311480,"0,003661%",6,4
,2124,前头,qián tou,front; thereinbefore,17159,50244,"0,000591%", ,4
,2125,前途,qiántú,future,3976,342781,"0,004029%",5,4
,2126,巧克力,qiǎokèlì,Chocolates,2955,488610,"0,005743%",4,4
,2127,亲爱,qīn’ài,Dear,1330,1140244,"0,013401%",5,4
,2128,亲密,qīnmì,close,4403,304030,"0,003573%",6,4
,2129,青春,qīngchūn,Youth,1746,860052,"0,010108%",5,4
,2130,轻松,qīngsōng,Relaxed,1179,1299538,"0,015273%",4,4
,2131,轻易,qīngyì,easily,2615,556986,"0,006546%",5,4
,2132,清醒,qīngxǐng,Sober,3026,474188,"0,005573%",6,4
,2133,情景,qíngjǐng,scene,3636,381940,"0,004489%",5,4
,2134,穷人,qióng rén,poor people; the poor,5953,206253,"0,002424%", ,4
,2135,秋季,qiū jì,autumn; fall,5531,226175,"0,002658%", ,4
,2136,趋势,qūshì,trend,940,1632271,"0,019184%",5,4
,2137,权利,quánlì,Right,1264,1209618,"0,014217%",5,4
,2138,确认,quèrèn,confirm,1732,866700,"0,010186%",5,4
,2139,然而,rán’ér,however,622,2258164,"0,026540%",4,4
,2140,燃料,rán liào,fuel,4302,311484,"0,003661%", ,4
,2141,燃烧,ránshāo,burning,3837,358252,"0,004211%",5,4
,2142,热闹,rènao,lively,3047,471330,"0,005539%",4,4
,2143,热心,rèxīn,enthusiastic,5228,244812,"0,002877%",5,4
,2144,人家,rénjiā,family,809,1861769,"0,021881%",6,4
,2145,日记,rìjì,diary,4254,315043,"0,003703%",4,4
,2146,日历,rìlì,calendar,15195,59886,"0,000704%",5,4
,2147,如今,rújīn,nowadays,818,1847799,"0,021717%",5,4
,2148,色彩,sècǎi,color,1569,960919,"0,011294%",5,4
,2149,森林,sēnlín,Forest,2353,627741,"0,007378%",4,4
,2150,闪电,shǎndiàn,lightning,6367,190947,"0,002244%",5,4
,2151,善良,shànliáng,kind; virtuous,3300,430490,"0,005060%",5,4
,2152,善于,shànyú,be good at,3438,411083,"0,004831%",5,4
,2153,伤害,shānghài,hurt,1250,1218525,"0,014321%",5,4
,2154,商务,shāngwù,business,1308,1156956,"0,013598%",5,4
,2155,上个月,shàng gè yuè,last month,—,—,—, ,4
,2156,上楼,shàng lóu,go upstairs,12263,80887,"0,000951%", ,4
,2157,上门,shàng mén,drop in; visit,4768,275660,"0,003240%", ,4
,2158,设施,shèshī,facilities,886,1728392,"0,020314%",5,4
,2159,设置,shèzhì,Set up,1296,1167013,"0,013716%",6,4
,2160,申请,shēnqǐng,Apply,833,1810675,"0,021281%",4,4
,2161,身材,shēncái,figure,2339,631408,"0,007421%",5,4
,2162,身份,shēnfèn,identity,1110,1387614,"0,016308%",5,4
,2163,身高,shēn gāo,height,2815,515991,"0,006064%", ,4
,2164,深厚,shēn hòu,deep; profound; solid; deep-seated,5077,253955,"0,002985%", ,4
,2165,神话,shénhuà,Myth,4653,283655,"0,003334%",5,4
,2166,神秘,shénmì,mysterious,1792,844225,"0,009922%",5,4
,2167,甚至,shènzhì,Even to the extent that,242,4544850,"0,053415%",4,4
,2168,失败,shībài,fail,1278,1196719,"0,014065%",4,4
,2169,失望,shīwàng,Disappointment,2011,752590,"0,008845%",4,4
,2170,失业,shīyè,Unemployment,3495,401667,"0,004721%",5,4
,2171,诗人,shī rén,poet,4773,275061,"0,003233%", ,4
,2172,实施,shíshī,Implementation,299,4015009,"0,047188%",6,4
,2173,实用,shíyòng,Practical,2373,621187,"0,007301%",5,4
,2174,食堂,shí táng,dining room; mess hall; canteen,4196,320725,"0,003769%", ,4
,2175,使劲,shǐ jìn,exert all one’s strength; put in energy,7732,149968,"0,001763%", ,4
,2176,士兵,shìbīng,soldiers,1943,776996,"0,009132%",5,4
,2177,市区,shì qū,downtown area; urban district,—,—,—, ,4
,2178,似的,shìde,Like,2313,642754,"0,007554%",5,4
,2179,事物,shìwù,Thing,2794,520038,"0,006112%",5,4
,2180,事先,shìxiān,Prior,3972,342991,"0,004031%",5,4
,2181,试卷,shìjuàn,test paper,7176,164105,"0,001929%",5,4
,2182,是否,shìfǒu,Whether,309,3914584,"0,046008%",4,4
,2183,收回,shōu huí,withdraw; regain; call in; countermand,3757,368159,"0,004327%", ,4
,2184,收获,shōuhuò,Harvest,2061,731626,"0,008599%",5,4
,2185,收益,shōuyì,income; profit,1150,1337423,"0,015719%",6,4
,2186,手工,shǒugōng,manual,4687,281160,"0,003304%",5,4
,2187,手里,shǒu lǐ,in one’s hands,—,—,—, ,4
,2188,手术,shǒushù,Operation,732,2010605,"0,023630%",5,4
,2189,手套,shǒutào,glove,6975,170561,"0,002005%",5,4
,2190,受不了,shòubuliǎo,Cannot bear sth,3686,376678,"0,004427%",4,4
,2191,售货员,shòuhuòyuán,Salesperson,19084,42820,"0,000503%",4,4
,2192,叔叔,shūshu,uncle,4066,332898,"0,003913%",3,4
,2193,舒适,shūshì,Comfortable,2601,560921,"0,006592%",5,4
,2194,熟练,shúliàn,skilled,5916,207782,"0,002442%",5,4
,2195,暑假,shǔ jià,summer vacation,6627,181792,"0,002137%", ,4
,2196,树林,shù lín,wood; grove; forest,8167,139181,"0,001636%", ,4
,2197,树叶,shù yè,leaf; tree leaf,11002,94285,"0,001108%", ,4
,2198,数据,shùjù,data,437,2974788,"0,034962%",5,4
,2199,数码,shùmǎ,Digital,2048,736117,"0,008652%",5,4
,2200,刷牙,shuāyá,Brush one’s teeth,9408,115684,"0,001360%",3,4
,2201,刷子,shuā zi,brush; scrub,24901,28275,"0,000332%", ,4
,2202,帅哥,shuài gē,handsome boy,3412,415839,"0,004887%", ,4
,2203,率先,shuài xiān,lead; take the lead,2500,582063,"0,006841%", ,4
,2204,睡着,shuì zháo,sleep; fall asleep,—,—,—, ,4
,2205,顺序,shùnxù,order,4926,264377,"0,003107%",4,4
,2206,说不定,shuōbudìng,maybe,4907,265694,"0,003123%",5,4
,2207,说服,shuōfú,Persuade,5867,210055,"0,002469%",5,4
,2208,思考,sīkǎo,Reflection,1518,989824,"0,011633%",5,4
,2209,似乎,sìhū,It seems that,596,2336352,"0,027459%",5,4
,2210,松树,sōng shù,pine tree; pine,21184,36539,"0,000429%", ,4
,2211,塑料,sù liào,plastic,3545,395550,"0,004649%", ,4
,2212,塑料袋,sùliàodài,Plastic bag,10151,104814,"0,001232%",4,4
,2213,酸奶,suān nǎi,yogurt,5086,253475,"0,002979%", ,4
,2214,随手,suíshǒu,Readily,6227,195600,"0,002299%",5,4
,2215,孙女,sūn nǚ,granddaughter,13086,74084,"0,000871%", ,4
,2216,孙子,sūnzi,Grandson,5415,232772,"0,002736%",4,4
,2217,缩短,suōduǎn,Shorten,3896,351237,"0,004128%",5,4
,2218,缩小,suō xiǎo,reduce; lessen; narrow; shrink; zoom out,3681,377037,"0,004431%", ,4
,2219,台阶,táijiē,Steps,6205,196517,"0,002310%",5,4
,2220,台上,tái shàng,on the stage,5156,248902,"0,002925%", ,4
,2221,套餐,tào cān,set meal,—,—,—, ,4
,2222,特价,tè jià,special offer; bargain price,3718,373462,"0,004389%", ,4
,2223,特殊,tèshū,special,984,1561398,"0,018351%",5,4
,2224,特征,tèzhēng,Features,1251,1218357,"0,014319%",5,4
,2225,提供,tígōng,provide,116,7033899,"0,082669%",4,4
,2226,提醒,tíxǐng,remind,1196,1277629,"0,015016%",4,4
,2227,体操,tǐ cāo,gymnastics,6870,173484,"0,002039%", ,4
,2228,体检,tǐ jiǎn,physical examination,4190,321414,"0,003778%", ,4
,2229,体重,tǐ zhòng,body weight,2430,599499,"0,007046%", ,4
,2230,替代,tì dài,replace; substitute,3359,423227,"0,004974%", ,4
,2231,天真,tiānzhēn,naive,4985,260402,"0,003060%",5,4
,2232,填空,tiánkòng,Fill in the blanks,30394,20140,"0,000237%",4,4
,2233,挑选,tiāo xuǎn,pick; choose; select; pick out,3812,361799,"0,004252%", ,4
,2234,调皮,tiáopí,naughty,10587,99064,"0,001164%",5,4
,2235,挑战,tiǎozhàn,Dekaron,1065,1447219,"0,017009%",5,4
,2236,停下,tíng xià,stop,—,—,—, ,4
,2237,通知书,tōng zhī shū,notice,7306,160395,"0,001885%", ,4
,2238,同情,tóngqíng,Sympathy,4640,284526,"0,003344%",4,4
,2239,童话,tónghuà,fairy tale,4959,261941,"0,003079%",6,4
,2240,童年,tóng nián,childhood; babyhood,4468,297329,"0,003494%", ,4
,2241,统计,tǒngjì,Statistics,546,2514976,"0,029558%",6,4
,2242,统一,tǒngyī,Unified,535,2558887,"0,030074%",5,4
,2243,痛快,tòngkuài,"Happy, to one`s heart`s content",8061,141837,"0,001667%",5,4
,2244,投入,tóurù,put into,580,2383906,"0,028018%",5,4
,2245,投诉,tóusù,complaint,2250,658197,"0,007736%",6,4
,2246,投资,tóuzī,Investment,82,8299582,"0,097544%",5,4
,2247,透明,tòumíng,transparent,3309,429469,"0,005048%",5,4
,2248,图案,tú’àn,pattern,3830,359451,"0,004225%",6,4
,2249,途中,tú zhōng,on the way to; en route,4125,328052,"0,003856%", ,4
,2250,土地,tǔdì,land,517,2640832,"0,031037%",5,4
,2251,推迟,tuīchí,delay,4960,261932,"0,003078%",4,4
,2252,推销,tuīxiāo,promote sales,5615,221612,"0,002605%",6,4
,2253,袜子,wàzi,Socks,6838,174541,"0,002051%",4,4
,2254,外汇,wài huì,foreign exchange; foreign currency,2650,550729,"0,006473%", ,4
,2255,外交官,wài jiāo guān,diplomat; diplomatist,12036,82964,"0,000975%", ,4
,2256,外套,wài tào,coat,2405,608517,"0,007152%", ,4
,2257,晚点,wǎn diǎn,late; behind schedule,11301,90902,"0,001068%", ,4
,2258,万一,wànyī,In case,—,—,—,5,4
,2259,网络,wǎngluò,network,233,4634842,"0,054473%",5,4
,2260,网址,wǎng zhǐ,Internet site; website; URL,—,—,—, ,4
,2261,微笑,wēixiào,Smile,1279,1196377,"0,014061%",5,4
,2262,微信,wēi xìn,WeChat (a Chinese social app),—,—,—, ,4
,2263,围巾,wéijīn,scarf,5083,253725,"0,002982%",5,4
,2264,维持,wéichí,maintain,1281,1193493,"0,014027%",6,4
,2265,维护,wéihù,protect,1026,1491166,"0,017526%",6,4
,2266,维修,wéixiū,Repair,2222,669884,"0,007873%",5,4
,2267,尾巴,wěiba,tail,6622,182098,"0,002140%",5,4
,2268,未必,wèibì,not necessarily,3679,377788,"0,004440%",5,4
,2269,未来,wèilái,Future,338,3724123,"0,043769%",5,4
,2270,位于,wèiyú,Be located,897,1702278,"0,020007%",5,4
,2271,位置,wèizhì,position,611,2289796,"0,026912%",5,4
,2272,味儿,wèir,flavor; taste,11435,89176,"0,001048%", ,4
,2273,稳定,wěndìng,Stable,503,2704720,"0,031788%",5,4
,2274,问候,wènhòu,To greet,4754,276411,"0,003249%",5,4
,2275,无法,wú fǎ,unable; incapable,281,4213049,"0,049516%", ,4
,2276,无聊,wúliáo,Boring,1536,978178,"0,011496%",4,4
,2277,无论,wúlùn,no matter,609,2310098,"0,027150%",4,4
,2278,无数,wúshù,Countless,1937,780757,"0,009176%",5,4
,2279,无所谓,wúsuǒwèi,cannot be designated as,4278,312948,"0,003678%",5,4
,2280,无限,wú xiàn,infinite; limitless; unlimited,2081,719447,"0,008456%", ,4
,2281,五颜六色,wǔ yán liù sè,colourful; multicolored,20629,38022,"0,000447%", ,4
,2282,误会,wùhuì,Misunderstanding,5405,233266,"0,002742%",4,4
,2283,西瓜,xīguā,watermelon,4821,271595,"0,003192%",2,4
,2284,吸管,xī guǎn,straw,21594,35470,"0,000417%", ,4
,2285,吸收,xīshōu,absorb,1630,923768,"0,010857%",5,4
,2286,吸烟,xī yān,smoke,5067,254623,"0,002993%", ,4
,2287,吸引,xīyǐn,Attract,959,1603278,"0,018843%",4,4
,2288,喜爱,xǐ ài,like; love; be fond of,2921,493925,"0,005805%", ,4
,2289,系列,xìliè,series,887,1725483,"0,020279%",6,4
,2290,系统,xìtǒng,system,148,5961138,"0,070061%",5,4
,2291,细节,xìjié,details,2038,741187,"0,008711%",5,4
,2292,细致,xìzhì,careful,4891,266364,"0,003131%",6,4
,2293,下个月,xià gè yuè,next month,—,—,—, ,4
,2294,下降,xià jiàng,decline; drop; decrease; fall; go down,522,2605653,"0,030624%", ,4
,2295,下楼,xià lóu,go downstairs; come downstairs,8426,133693,"0,001571%", ,4
,2296,下载,xiàzài,download,—,—,—,5,4
,2297,夏季,xià jì,summer,3946,346463,"0,004072%", ,4
,2298,鲜花,xiān huā,fresh flower,4908,265654,"0,003122%", ,4
,2299,鲜明,xiānmíng,distinct,4018,337218,"0,003963%",6,4
,2300,显著,xiǎnzhù,remarkable,1235,1231645,"0,014475%",6,4
,2301,限制,xiànzhì,limit,1020,1500606,"0,017636%",5,4
,2302,相处,xiāngchǔ,Get along with,4117,328469,"0,003860%",5,4
,2303,相反,xiāngfǎn,Contrary,2494,585120,"0,006877%",4,4
,2304,箱子,xiāng zi,chest; bin; box; case; trunk,7432,157476,"0,001851%", ,4
,2305,想念,xiǎngniàn,miss,2954,488617,"0,005743%",5,4
,2306,想象,xiǎngxiàng,imagine,1574,956536,"0,011242%",5,4
,2307,项目,xiàngmù,project,119,6927688,"0,081420%",5,4
,2308,相片,xiàng piàn,photo; photograph,9920,108035,"0,001270%", ,4
,2309,消化,xiāohuà,Digestion,2480,587233,"0,006902%",5,4
,2310,销售,xiāoshòu,Sale,294,4099072,"0,048176%",5,4
,2311,小吃,xiǎochī,snack,6472,187423,"0,002203%",4,4
,2312,小伙子,xiǎohuǒzi,Young fellow,4975,261205,"0,003070%",4,4
,2313,小型,xiǎo xíng,small-size; small-scale,3225,442591,"0,005202%", ,4
,2314,效率,xiàolǜ,efficiency,1586,949829,"0,011163%",5,4
,2315,心理,xīnlǐ,Psychology,570,2427764,"0,028533%",5,4
,2316,新郎,xīnláng,Groom,8980,122527,"0,001440%",6,4
,2317,新娘,xīnniáng,Bride,4485,295767,"0,003476%",6,4
,2318,新鲜,xīnxiān,fresh,2017,748860,"0,008801%",3,4
,2319,新型,xīn xíng,new type; new kind,1881,808311,"0,009500%", ,4
,2320,兴奋,xīngfèn,Excitement,1603,938133,"0,011026%",4,4
,2321,形容,xíngróng,describe,3468,405577,"0,004767%",5,4
,2322,形势,xíngshì,situation,1094,1405792,"0,016522%",5,4
,2323,型号,xíng hào,model; type; pattern,4809,272468,"0,003202%", ,4
,2324,兴趣,xìng qù,interest,1860,817727,"0,009611%", ,4
,2325,性质,xìngzhì,Nature,1833,831597,"0,009774%",5,4
,2326,兄弟,xiōngdì,Brother,1059,1449887,"0,017040%",5,4
,2327,胸部,xiōng bù,chest; thorax; breast,5230,244761,"0,002877%", ,4
,2328,修理,xiūlǐ,repair,5643,220368,"0,002590%",4,4
,2329,选择,xuǎnzé,Choice,142,6105589,"0,071758%",3,4
,2330,学分,xué fēn,credit; academic credit,11943,83952,"0,000987%", ,4
,2331,学年,xué nián,school year; academic year,15248,59521,"0,000700%", ,4
,2332,学时,xué shí,class hour; period,23044,32110,"0,000377%", ,4
,2333,学术,xuéshù,learning,1923,788331,"0,009265%",5,4
,2334,学问,xuéwen,knowledge,7789,148270,"0,001743%",5,4
,2335,寻找,xúnzhǎo,"Seek, look for",1104,1394988,"0,016395%",5,4
,2336,迅速,xùnsù,rapid,612,2288069,"0,026891%",5,4
,2337,牙刷,yá shuā,toothbrush,13945,67633,"0,000795%", ,4
,2338,亚运会,yà yùn huì,Asian Games,3858,356454,"0,004189%", ,4
,2339,延长,yáncháng,extend,2785,522469,"0,006141%",5,4
,2340,延期,yánqī,Delay,9854,108831,"0,001279%",6,4
,2341,延续,yánxù,continue,2858,508018,"0,005971%",6,4
,2342,严格,yángé,strict,843,1798180,"0,021134%",4,4
,2343,严重,yánzhòng,serious,315,3880758,"0,045610%",4,4
,2344,研究,yánjiū,research,84,8217927,"0,096585%",4,4
,2345,研究生,yán jiū shēng,postgraduate; graduate student,2908,496134,"0,005831%", ,4
,2346,研制,yán zhì,prepare; manufacture; develop,2419,603380,"0,007091%", ,4
,2347,眼镜,yǎnjìng,glasses,3526,397715,"0,004674%",4,4
,2348,眼泪,yǎn lèi,tear; eyedrop,1910,794329,"0,009336%", ,4
,2349,眼里,yǎn lǐ,within one’s vision; in one’s eyes,3052,470555,"0,005530%", ,4
,2350,演讲,yǎnjiǎng,speech,2913,495264,"0,005821%",5,4
,2351,阳台,yángtái,balcony,5106,252313,"0,002965%",5,4
,2352,养成,yǎngchéng,Cultivate,4665,282792,"0,003324%",4,4
,2353,药物,yào wù,drug; medicine,1176,1304360,"0,015330%", ,4
,2354,业余,yèyú,amateur,4263,314478,"0,003696%",5,4
,2355,叶子,yèzi,Leaf,7778,148701,"0,001748%",4,4
,2356,医疗,yī liáo,medical treatment,755,1958670,"0,023020%", ,4
,2357,医学,yī xué,medical science; medicine,1856,819523,"0,009632%", ,4
,2358,依靠,yīkào,rely on; depend on,1543,975215,"0,011462%",6,4
,2359,依然,yīrán,still,707,2059195,"0,024202%",5,4
,2360,一律,yílǜ,all and singular,4314,310260,"0,003646%",5,4
,2361,一再,yízài,repeatedly,4168,322593,"0,003791%",5,4
,2362,一致,yízhì,Agreement,1016,1508397,"0,017728%",5,4
,2363,移动,yídòng,move,1210,1261690,"0,014829%",5,4
,2364,移民,yímín,immigrant,2749,528738,"0,006214%",5,4
,2365,遗产,yíchǎn,heritage,3706,375156,"0,004409%",6,4
,2366,遗传,yíchuán,inheritance,4553,290639,"0,003416%",6,4
,2367,疑问,yíwèn,Doubt,4357,307060,"0,003609%",5,4
,2368,以及,yǐjí,as well as,102,7517422,"0,088352%",5,4
,2369,以内,yǐ nèi,within,3941,346784,"0,004076%", ,4
,2370,一般来说,yì bān lái shuō,generally speaking,7794,148212,"0,001742%", ,4
,2371,义务,yìwù,obligation,1986,758697,"0,008917%",5,4
,2372,议论,yìlùn,Discussion,6249,194732,"0,002289%",5,4
,2373,引导,yǐndǎo,guide,1477,1020014,"0,011988%",6,4
,2374,引进,yǐn jìn,introduce from elsewhere; bring in; recommend,1375,1099833,"0,012926%", ,4
,2375,引起,yǐnqǐ,cause,429,3010810,"0,035386%",4,4
,2376,英勇,yīngyǒng,heroic,7048,168393,"0,001979%",6,4
,2377,营业,yíngyè,Do business,3014,476550,"0,005601%",5,4
,2378,赢得,yíng dé,gain; win,1588,948042,"0,011142%", ,4
,2379,影子,yǐngzi,shadow,4682,281518,"0,003309%",5,4
,2380,勇敢,yǒnggǎn,Brave,2682,542005,"0,006370%",4,4
,2381,勇气,yǒngqì,courage,2651,550703,"0,006472%",5,4
,2382,用途,yòngtú,purpose,5223,244967,"0,002879%",5,4
,2383,优良,yōu liáng,fine; good; excellent,3559,393718,"0,004627%", ,4
,2384,优美,yōuměi,Graceful,4842,270042,"0,003174%",5,4
,2385,优秀,yōuxiù,excellent,941,1631793,"0,019178%",4,4
,2386,邮局,yóujú,Post Office,11722,86063,"0,001011%",4,4
,2387,有劲儿,yǒu jìnr,strong; energetic,—,—,—, ,4
,2388,有趣,yǒuqù,interesting,2985,483946,"0,005688%",4,4
,2389,有限,yǒu xiàn,limited; finite,1506,998661,"0,011737%", ,4
,2390,幼儿园,yòu’éryuán,Kindergarten,3044,471552,"0,005542%",5,4
,2391,于是,yúshì,Therefore,488,2755669,"0,032387%",4,4
,2392,语法,yǔfǎ,grammar,9448,115069,"0,001352%",4,4
,2393,语音,yǔ yīn,voice,4919,264779,"0,003112%", ,4
,2394,玉米,yùmǐ,Corn,2171,684553,"0,008045%",5,4
,2395,预测,yù cè,forecast; prognosis,1332,1138405,"0,013380%", ,4
,2396,预订,yùdìng,book; subscribe for,3586,388758,"0,004569%",5,4
,2397,遇到,yùdào,encounter,738,1991551,"0,023407%",3,4
,2398,遇见,yù jiàn,meet; come across,3167,452019,"0,005313%", ,4
,2399,原料,yuánliào,raw material,2092,715224,"0,008406%",5,4
,2400,原则,yuánzé,Principle,651,2198319,"0,025837%",5,4
,2401,圆满,yuánmǎn,Satisfactorily,3732,371346,"0,004364%",6,4
,2402,约会,yuēhuì,Date,4938,263475,"0,003097%",4,4
,2403,月底,yuè dǐ,the end of a month,9977,107147,"0,001259%", ,4
,2404,阅读,yuèdú,Read,2157,689789,"0,008107%",4,4
,2405,运动会,yùn dòng huì,sports meeting,5160,248639,"0,002922%", ,4
,2406,运动员,yùn dòng yuán,athlete; sportsman,2042,739577,"0,008692%", ,4
,2407,运气,yùnqi,luck,3107,462955,"0,005441%",5,4
,2408,运用,yùnyòng,Application,1257,1212794,"0,014254%",5,4
,2409,再三,zàisān,repeatedly,9184,119280,"0,001402%",5,4
,2410,在乎,zàihu,care about,2780,522954,"0,006146%",5,4
,2411,在于,zàiyú,rest with,971,1584567,"0,018623%",5,4
,2412,赞成,zànchéng,agree,4862,268734,"0,003158%",5,4
,2413,赞赏,zàn shǎng,praise; panegyrize; eulogize; admiration,6991,169950,"0,001997%", ,4
,2414,赞助,zànzhù,Sponsor,4106,329355,"0,003871%",6,4
,2415,造型,zàoxíng,style; modeling,1667,899460,"0,010571%",6,4
,2416,战斗,zhàndòu,Battle,1338,1134031,"0,013328%",6,4
,2417,战胜,zhàn shèng,defeat; conquer,1846,825371,"0,009701%", ,4
,2418,战士,zhàn shì,warrior; soldier; fighter,2066,726695,"0,008541%", ,4
,2419,战争,zhànzhēng,War,963,1592167,"0,018713%",5,4
,2420,丈夫,zhàngfu,husband,1386,1090817,"0,012820%",2,4
,2421,招呼,zhāo hu,call; hail; greet; glad-hand,5339,237570,"0,002792%", ,4
,2422,着火,zháohuǒ,on fire,10427,101068,"0,001188%",5,4
,2423,着急,zháojí,Worry,4019,337168,"0,003963%",3,4
,2424,召开,zhàokāi,convene,626,2250018,"0,026444%",5,4
,2425,针对,zhēnduì,In the light of,774,1932399,"0,022711%",5,4
,2426,争论,zhēnglùn,debate,4337,308273,"0,003623%",5,4
,2427,征服,zhēngfú,Conquer,5459,230090,"0,002704%",6,4
,2428,征求,zhēngqiú,"seek, ask for",4221,318918,"0,003748%",5,4
,2429,政府,zhèngfǔ,government,54,9908944,"0,116459%",5,4
,2430,政治,zhèngzhì,Politics,387,3321824,"0,039041%",5,4
,2431,之后,zhī hòu,later; after; afterwards,125,6832942,"0,080307%", ,4
,2432,之间,zhī jiān,between; among,197,5182775,"0,060913%", ,4
,2433,之前,zhī qián,before; prior to,388,3320370,"0,039024%", ,4
,2434,之一,zhī yī,one of,411,3127581,"0,036758%", ,4
,2435,植物,zhíwù,Botany,2174,683939,"0,008038%",4,4
,2436,指挥,zhǐhuī,command,1728,867639,"0,010197%",5,4
,2437,制订,zhì dìng,formulate; work out; map out,3477,404536,"0,004754%", ,4
,2438,质量,zhìliàng,quality,275,4267489,"0,050155%",4,4
,2439,治疗,zhìliáo,Treatment,231,4645056,"0,054593%",5,4
,2440,智力,zhìlì,intelligence,3404,416482,"0,004895%",6,4
,2441,智能,zhìnéng,Intelligence,2603,560729,"0,006590%",6,4
,2442,中介,zhōngjiè,intermediary,2542,573509,"0,006740%",5,4
,2443,种类,zhǒnglèi,type,4080,331818,"0,003900%",5,4
,2444,中奖,zhòng jiǎng,win a lottery,3260,437724,"0,005145%", ,4
,2445,种植,zhòngzhí,plant,2361,624405,"0,007339%",6,4
,2446,重量,zhòngliàng,weight,3503,401110,"0,004714%",5,4
,2447,逐步,zhúbù,gradually,958,1604344,"0,018856%",5,4
,2448,逐渐,zhújiàn,gradually,968,1588613,"0,018671%",5,4
,2449,主题,zhǔtí,theme,1071,1441541,"0,016942%",5,4
,2450,主席,zhǔxí,Chairman,814,1853308,"0,021782%",5,4
,2451,祝福,zhùfú,blessing,1275,1197671,"0,014076%",5,4
,2452,著名,zhùmíng,famous,883,1731716,"0,020353%",4,4
,2453,著作,zhùzuò,Work,3791,363860,"0,004276%",6,4
,2454,抓紧,zhuājǐn,Pay close attention to; grasp,3191,447556,"0,005260%",5,4
,2455,专心,zhuānxīn,Attentively,9169,119579,"0,001405%",5,4
,2456,转动,zhuǎn dòng,turn; move; turn round,7463,156760,"0,001842%", ,4
,2457,转告,zhuǎngào,Tell,14491,64230,"0,000755%",5,4
,2458,转身,zhuǎn shēn,turn round; face about,2586,564121,"0,006630%", ,4
,2459,转弯,zhuǎn wān,make a turn; turn a corner,11550,87886,"0,001033%", ,4
,2460,转移,zhuǎnyí,transfer,1180,1296688,"0,015240%",6,4
,2461,装修,zhuāngxiū,decorate house,1955,773406,"0,009090%",5,4
,2462,装置,zhuāng zhì,device; equipment,2506,580360,"0,006821%", ,4
,2463,追求,zhuīqiú,Pursuit,1024,1491661,"0,017531%",5,4
,2464,准时,zhǔnshí,on time,6373,190768,"0,002242%",4,4
,2465,资料,zīliào,data,540,2553938,"0,030016%",5,4
,2466,资源,zīyuán,Resources,312,3886504,"0,045678%",5,4
,2467,自信,zìxìn,self-confidence,2064,729498,"0,008574%",4,4
,2468,字母,zìmǔ,Letter,7219,162936,"0,001915%",5,4
,2469,综合,zōnghé,comprehensive,486,2759279,"0,032430%",5,4
,2470,总共,zǒnggòng,In total,4732,277663,"0,003263%",5,4
,2471,总理,zǒnglǐ,prime minister,1395,1083558,"0,012735%",5,4
,2472,总统,zǒngtǒng,President,850,1781610,"0,020939%",5,4
,2473,总之,zǒngzhī,in short,3000,480054,"0,005642%",5,4
,2474,阻止,zǔzhǐ,prevent,2563,568012,"0,006676%",5,4
,2475,嘴巴,zuǐ ba,mouth,4178,322114,"0,003786%", ,4
,2476,最初,zuìchū,First,2721,534259,"0,006279%",5,4
,2477,作出,zuò chū,"make (a decision, etc.)",—,—,—, ,4
,2478,作为,zuòwéi,As,94,7885316,"0,092675%",5,4
,2479,做梦,zuò mèng,dream; daydream,4941,263290,"0,003094%", ,4
,Band 5,,,,,,,,
,2480,安慰,ānwèi,comfort,2821,514866,"0,006051%",5,5
,2481,岸上,àn shàng,ashore; shore; bank,17483,48912,"0,000575%", ,5
,2482,按摩,ànmó,massage,3283,433564,"0,005096%",6,5
